[16/12/2019 04:18:39] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:20:10] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:21:33] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:23:10] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:24:38] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:26:29] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:28:04] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:29:48] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:31:18] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:32:53] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:34:21] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:36:01] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:37:36] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:39:22] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:40:48] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:42:32] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:43:58] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:45:22] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:47:12] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:49:06] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:50:34] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:52:11] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:53:28] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:55:02] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:56:51] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:58:38] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 04:59:59] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:01:31] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:03:11] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:04:58] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:06:32] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:08:08] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:09:39] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:11:15] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:12:51] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:14:22] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:16:02] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:17:33] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:19:13] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:20:42] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:22:11] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:23:35] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:24:57] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:26:36] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:28:29] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
[16/12/2019 05:30:08] {'params': [1.5924830764008195, 94.96795598388884], 'value': 0.9982715556012538, 'time': 0.0703125}
