[23/01/2020 11:24:22] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 11:41:25] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 11:57:50] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 12:13:45] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 12:30:45] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 12:47:03] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 13:02:47] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 13:17:51] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 13:32:45] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 13:48:56] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 14:04:52] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 14:19:27] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 14:35:12] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 14:51:31] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 15:07:54] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 15:23:07] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 15:37:53] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 15:54:30] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 16:10:13] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 16:26:02] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 16:40:47] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 16:56:58] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 17:12:12] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 17:27:28] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 17:43:02] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 17:59:25] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 18:14:53] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 18:30:09] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 18:46:51] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 19:01:33] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 19:16:32] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 19:31:47] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
[23/01/2020 19:47:22] {'params': [1.8850958267933937, 12.045446742849617, 384.73164846455376], 'fit': 198, 'value': 0.002102807384602299, 'time': 0.059375}
